Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
"BROCA P/MADERA 1/4""                                                                           ",-1,0.00,S/ 2.04,0.00,S/ 4.50
"BROCA P/MADERA 1/8""                                                                                 ",6,0.58,S/ 0.68,0.18,S/ 2.00
"BROCA P/MADERA 3/16""                                                                                ",6,1.10,S/ 1.30,0.35,S/ 2.00
"BROCA P/MADERA 3/8""                                                                                 ",-3,0.00,S/ 3.50,0.00,
"BROCA P/MADERA 5/16""                                                                                ",6,1.26,S/ 2.00,0.40,S/ 5.00
"BROCA P/MADERA 5/32""                                                                                ",10,0.61,S/ 1.32,0.19,S/ 2.00
"BROCA P/MADERA 5/8""                                                                                 ",-2,0.00,S/ 0.00,0.00,
"BROCA P/ROTOMARTILLO 5/8"" 20CM DEWALT                                                               ",1,32.20,S/ 38.00,10.23,
"BROCA P/ROTOMARTILLO 5/8"" 40CM TITAN                                                                ",1,25.42,S/ 30.00,8.07,
BROCA PROFIELD,,,S/ 10.00,,S/ 20.00
"BROCHA 1 1/2""                                                                                   ",,,S/ 1.40,,
"BROCHA 1 1/2""                                                                                       ",24,1.23,S/ 1.45,0.39,
"BROCHA 1 1/2"" C & A                                                                                 ",12,1.53,S/ 2.10,,
"BROCHA 1 1/2"" COPERSA                                                                               ",7,0.79,S/ 0.93,0.25,
"BROCHA 1 1/2"" PONY                                                                                  ",-2,0.00,S/ 1.50,0.00,
"BROCHA 1 1/2"" TRUPER                                                                                ",5,1.55,S/ 1.83,0.49,
"BROCHA 1 1/2"" TUMI                                                                                  ",-2,0.00,S/ 0.00,0.00,
"BROCHA 1""                                                                                           ",15,0.97,S/ 1.10,0.31,
"BROCHA 1"" ADELU                                                                                     ",7,0.74,S/ 0.87,0.24,
"BROCHA 1"" C & A                                                                                     ",12,1.27,S/ 1.60,,
"BROCHA 1"" NARANJA                                                                                            ",,,S/ 1.17,,
"BROCHA 1"" TUMI                                                                                            ",,,S/ 5.50,,
"BROCHA 1/2"" PONY                                                                                    ",-2,0.00,S/ 0.00,0.00,
"BROCHA 1/2"" TRUPER                                                                                  ",6,0.66,S/ 0.78,0.21,
"BROCHA 1/2"" TUMI                                                                                    ",,,S/ 4.80,,
"BROCHA 2 1/2"" ADELU                                                                                 ",-4,1.47,S/ 1.73,0.47,
"BROCHA 2 1/2"" NARANJA                                                                                ",,,S/ 2.50,,
"BROCHA 2 1/2"" TRUPER                                                                                ",5,2.36,S/ 2.78,0.75,
"BROCHA 2 1/2"" TUMI                                                                                  ",-6,0.00,S/ 0.00,0.00,
"BROCHA 2""                                                                                      ",,,S/ 1.60,,
"BROCHA 2"" ADELU                                                                                     ",-5,0.00,S/ 1.50,0.00,
"BROCHA 2"" INCAYA                                                                                    ",18,1.74,S/ 2.05,0.44,
"BROCHA 2"" NARANJA                                                                                    ",,,S/ 2.00,,
"BROCHA 2"" TRUPER                                                                                    ",29,2.32,S/ 2.74,0.74,
"BROCHA 3"" ADELU                                                                                     ",8,1.65,S/ 3.00,0.52,
"BROCHA 3"" C & A                                                                                     ",4,2.54,S/ 3.00,0.81,
"BROCHA 3"" COPERSA                                                                                   ",2,1.86,S/ 2.20,0.59,
"BROCHA 3"" NARANJA                                                                                           ",,,S/ 3.10,,
"BROCHA 3"" TUMI                                                                                      ",-12,0.00,S/ 0.00,0.00,
"BROCHA 3/4""                                                                                         ",30,1.10,S/ 1.30,0.35,
"BROCHA 3/4"" TUMI                                                                                        ",,,S/ 5.20,,
"BROCHA 4""                                                                                           ",4,2.54,S/ 3.00,0.81,
"BROCHA 4"" C & A                                                                                     ",6,5.25,S/ 6.20,,
"BROCHA 4"" INCAYA                                                                                    ",10,3.14,S/ 3.70,1.00,
"BROCHA 4"" NARANJA                                                                                   ",,,S/ 4.33,,
"BROCHA 4"" TUMI                                                                                    ",,,S/ 24.00,,
"BROCHA 5"" ADELU                                                                                     ",2,2.92,S/ 3.44,0.93,
"BROCHA 5"" INCAYA                                                                                    ",6,4.41,S/ 5.20,1.40,
"BROCHA 6"" PONY                                                                                      ",-1,0.00,S/ 0.00,0.00,
CABEZAL D/BRONCE                                                                                    ,-4,0.00,S/ 2.00,0.00,S/ 5.00
CABLE COAXIAL                                                                                       ,40,0.42,S/ 0.50,0.13,
CABLE GPT#10 (AUTOMOTRIZ) INDECO                                                                    ,,,S/ 4.10,,
CABLE GPT#12 (AUTOMOTRIZ) INDECO                                                                    ,90,1.02,S/ 1.20,0.32,S/ 3.10
CABLE GPT#14 (AUTOMOTRIZ) INDECO                                                                    ,94,0.81,S/ 0.95,0.26,S/ 2.60
CABLE GPT#16 (AUTOMOTRIZ) INDECO                                                                    ,100,0.55,S/ 0.65,0.17,S/ 2.10
CABLE GPT#18 (AUTOMOTRIZ) INDECO                                                                    ,96,0.38,S/ 0.45,0.12,S/ 1.60
CABLE INTERNET UTP ,,,S/ 1.20,,
CABLE MELLIZO 2x14 BRANDE                                                                           ,24,1.30,S/ 2.80,0.41,S/ 3.50
CABLE MELLIZO 2x16 BRANDE                                                                           ,272,0.81,S/ 1.80,0.26,S/ 2.60
CABLE MELLIZO 2x18 BRANDE                                                                           ,215,0.64,S/ 1.35,0.20,S/ 2.00
CABLE MELLIZO 2x20 BRANDE                                                                           ,,,S/ 0.83,,S/ 1.50
CABLE MELLIZO 2x22 BRANDE                                                                           ,,,S/ 0.78,,S/ 1.30
CABLE PARA PARLANTE (BICOLOR)                                                                       ,75,0.34,S/ 0.40,0.11,
CABLE PODER,,,S/ 3.00,,S/ 6.00
CABLE THW - 90 # 10 - AWG INDECO                                                                    ,,,S/ 3.45,,S/ 4.50
CABLE THW - 90 # 12 - AWG INDECO                                                                     ,579,1.02,S/ 2.05,0.26,S/ 2.50
CABLE THW - 90 # 14 - AWG INDECO                                                                    ,-42,0.69,S/ 1.34,0.22,S/ 1.90
CABLE VULCANIZADO 2x12 INDECO                                                                       ,75,3.26,S/ 6.20,1.04,S/ 8.00
CABLE VULCANIZADO 2x14 INDECO                                                                        ,-70,2.20,S/ 4.25,0.70,S/ 6.00
CABLE VULCANIZADO 2x16 INDECO                                                                        ,,,S/ 3.10,,S/ 5.00
CABLE VULCANIZADO 2x18 INDECO                                                                        ,85,1.53,S/ 1.20,0.48,S/ 3.50
CABLE VULCANIZADO 3X12                                                                              ,98.5,3.22,S/ 3.80,1.02,S/ 8.00
CABLE VULCANIZADO 3X14                                                                              ,-12,0.00,S/ 390.00,0.00,
CADENA                                                                                              ,-5,0.00,S/ 0.00,0.00,
CAJA DE PASE 10 X 10 X 70                                                                           ,1,3.56,S/ 4.20,1.13,S/ 7.00
CAJA DE PASE 10 X 15 X 70                                                                           ,,,S/ 4.00,,S/ 6.50
CAJA DE PASE 15 X 11 X 80                                                                           ,6,5.08,S/ 6.00,1.61,
CAJA DE PASE 15 X 15 X 70                                                                           ,,,S/ 4.50,,S/ 7.00
CAJA DE PASE 20 X 15 X 10                                                                           ,,,S/ 7.00,,S/ 12.00
CAJA DE PASE 20 X 20 X 10                                                                           ,,,S/ 8.50,,S/ 14.00
CAJA DE PASE 20 X 25 X 10                                                                           ,1,14.41,S/ 13.00,4.58,S/ 20.00
CAJA DE PASO 80 X 80 KBA                                                                            ,,,S/ 2.00,,S/ 4.00
CAJA METAL                                                                                          ,,,S/ 260.00,,
CAJA MODULAR BLANCA                                                                                 ,12,1.08,S/ 1.28,0.34,
CAJA OCTAGONAL ECONOMICO                                                                               ,,,,,S/ 1.50
CAJA OCTAGONAL NICOLL                                                                               ,-3,0.93,S/ 1.10,0.30,
CAJA OCTOGONAL MATUSITA                                                                             ,7,0.85,S/ 1.00,0.27,
CAJA OCTOGONAL PAVCO                                                                                ,167,1.46,S/ 1.72,0.37,S/ 3.00
CAJA OCTOGONAL PLASTICA                                                                             ,-7,0.00,S/ 0.00,0.00,
CAJA PVC PARA 1 LLAVE (2POLOS) KBA                                                                  ,-1,0.00,S/ 2.50,0.00,S/ 6.00
CAJA PVC PARA 1 LLAVE (3POLOS) KBA                                                                  ,,,S/ 3.50,,S/ 7.00
CAJA PVC PARA 10 LLAVES (20POLOS) KBA                                                                ,,,S/ 21.00,,S/ 35.00
CAJA PVC PARA 2 LLAVES (4POLOS) KBA VISIBLE                                                                ,4,3.81,S/ 4.00,1.21,S/ 8.00
CAJA PVC PARA 4 LLAVES (8 POLOS) VISIBLE                                                              ,5,9.92,S/ 6.50,3.15,S/ 12.00
CAJA PVC PARA 6 LLAVES (12POLOS) KBA EMP.                                                               ,-1,7.20,S/ 10.00,2.29,S/ 18.00
CAJA PVC PARA 8 LLAVES (16POLOS) KBA                                                                ,,,S/ 15.00,,S/ 25.00
CAJA PVC PARA 9 LLAVES (18POLOS) KBA                                                                ,,,S/ 19.00,,S/ 28.00
CAJA RECTANGULAR ECONOMICO                                                                                ,27,0.25,S/ 0.30,0.08,S/ 1.50
CAJA RECTANGULAR NICOLL                                                                             ,15,0.81,S/ 0.95,0.26,
CAJA RECTANGULAR PAVCO                                                                              ,771,1.27,S/ 1.50,0.32,S/ 3.00
